scope,activity_id,molecule_chembl_id,scaffold_key,cv_fold,reference_n,maximum_tanimoto,bin,nearest_tie_count,nearest_activity_ids,nearest_molecule_ids,nearest_scaffold_keys
cv_to_other_cv_folds,14761349,CHEMBL203059,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,1,462,0.2875,"[0.2,0.3)",1,"[""14765381""]","[""CHEMBL187857""]","[""O=C(Nc1cccc(Nc2ccncn2)c1)c1cccc(N2CCOCC2)c1""]"
cv_to_other_cv_folds,14761357,CHEMBL244521,O=c1c2cc(-c3ccccc3)ccc2ncn1CC1CCCNC1,0,467,0.24705882352941178,"[0.2,0.3)",1,"[""14765561""]","[""CHEMBL250961""]","[""O=S(=O)(NC1CCN(Cc2ccc(-c3ccccc3)cc2)C1)c1ccccc1""]"
cv_to_other_cv_folds,14761363,CHEMBL392559,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(CN2CC3CC2CN3)c1,1,462,0.55,"[0.4,0.6)",1,"[""14762388""]","[""CHEMBL129982""]","[""O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1""]"
cv_to_other_cv_folds,14761364,CHEMBL511115,c1cc(OC2CCCC2)cc(C2CCCCC2)c1,0,467,0.25,"[0.2,0.3)",1,"[""14759943""]","[""CHEMBL1340633""]","[""c1ccc(Nc2ccc(-c3ccc(Nc4ccccc4)cc3)cc2)cc1""]"
cv_to_other_cv_folds,14761365,CHEMBL568904,c1cnc2sccc2c1,2,467,0.2978723404255319,"[0.2,0.3)",1,"[""14763426""]","[""CHEMBL444884""]","[""c1ccc(-c2cccs2)cc1""]"
cv_to_other_cv_folds,14761367,CHEMBL1916269,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,2,467,0.7272727272727273,"[0.6,1.0]",1,"[""14764438""]","[""CHEMBL1916082""]","[""O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1""]"
cv_to_other_cv_folds,14761369,CHEMBL2207672,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,0,467,0.6627906976744186,"[0.6,1.0]",1,"[""14764385""]","[""CHEMBL2207654""]","[""O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)N3CCC3)ccc12""]"
cv_to_other_cv_folds,14761370,CHEMBL244183,c1cn(-c2ccc(Oc3cc(Oc4ccc5c(c4)OCO5)ncn3)cc2)cn1,1,462,0.19117647058823528,"[0,0.2)",1,"[""14764362""]","[""CHEMBL223713""]","[""c1ccc2c(c1)NCc1cc3c(cc1-2)OCO3""]"
cv_to_other_cv_folds,14761371,CHEMBL243978,c1cn(-c2ccc(Oc3nccc(Oc4ccc5c(c4)OCO5)n3)cc2)cn1,1,462,0.1836734693877551,"[0,0.2)",1,"[""14763361""]","[""CHEMBL213100""]","[""O=C(Oc1ccccc1)N(c1ccccc1)c1ccnc(Nc2ccc(N3CCNCC3)cc2)n1""]"
cv_to_other_cv_folds,14761385,CHEMBL11,c1ccc2c(c1)CCc1ccccc1N2,2,467,0.4888888888888889,"[0.4,0.6)",1,"[""14763501""]","[""CHEMBL71""]","[""c1ccc2c(c1)Nc1ccccc1S2""]"
cv_to_other_cv_folds,14762210,CHEMBL2171021,O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,2,467,0.43820224719101125,"[0.4,0.6)",1,"[""14761369""]","[""CHEMBL2207672""]","[""O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12""]"
cv_to_other_cv_folds,14762220,CHEMBL2152523,c1ccc(C(C(c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,1,462,0.22448979591836735,"[0.2,0.3)",1,"[""14760036""]","[""CHEMBL855""]","[""C(CN1CCCC1)=C(c1ccccc1)c1ccccn1""]"
cv_to_other_cv_folds,14762221,CHEMBL345937,O=c1cc2n(c3cc(N4CCNCC4)ccc13)CS2,2,467,0.6417910447761194,"[0.6,1.0]",1,"[""14762291""]","[""CHEMBL422648""]","[""O=c1occ(CN2CCN(c3ccc4c(=O)cc5n(c4c3)CS5)CC2)o1""]"
cv_to_other_cv_folds,14762227,CHEMBL605846,O=C1COc2c(CCNCCc3ccccc3)cccc2N1,0,467,0.3181818181818182,"[0.3,0.4)",1,"[""14764495""]","[""CHEMBL1945289""]","[""O=c1[nH]c2cccc(CCNCCc3cccc(CNCc4ccccc4)c3)c2s1""]"
cv_to_other_cv_folds,14762228,CHEMBL2031221,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1cccc(N2CCOCC2)c1,0,467,0.7808219178082192,"[0.6,1.0]",1,"[""14762304""]","[""CHEMBL2031225""]","[""O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1ccccc1""]"
